"","Key Skills","Count"
42,"1С программирование",12
46,"Пользователь ПК",10
50,"Информационные технологии",9
29,"AutoCAD",8
82,"Грамотная речь",7
123,"1С: Зарплата и управление персоналом",7
48,"Управление проектами",7
40,"1С: Предприятие 8",7
41,"MS SQL",7
22,"1С: Управление Торговлей",6
45,"Деловая коммуникация",6
121,"Английский язык",6
33,"JavaScript",5
38,"1С: Бухгалтерия",5
5,"Интернет-реклама",5
6,"Adobe Photoshop",5
60,"Сметы",5
61,"Проектная документация",5
43,"MS PowerPoint",4
87,"SQL",4
59,"Грамотность",4
1,"Настройка сетевых подключений",4
84,"Аналитическое мышление",4
49,"Техническая поддержка",4
4,"Windows 7",4
144,"1С: Документооборот",4
27,"1С: Розница",4
20,"1C: Бухгалтерия",4
44,"Деловая переписка",3
0,"TCP/IP",3
71,"Настройка ПК",3
74,"Администрирование серверов Windows",3
79,"Работа с базами данных",3
100,"Электронный документооборот",3
112,"1С: Торговля",3
118,"Системное мышление",3
39,"1С: Управление Производственным Предприятием",3
195,"ERP-системы на базе 1С",3
37,"Ajax",3
35,"CSS",3
34,"MySQL",3
32,"MS Excel",3
31,"MS Visio",3
18,"Cистемы управления базами данных",3
36,"HTML",3
24,"Разработка технических заданий",3
13,"Google Analytics",3
90,"PHP",2
95,"Active Directory",2
186,"написание конфигураций",2
91,"AngularJS",2
216,"Аналитический склад ума",2
173,"Заключение договоров",2
81,"Работа в команде",2
80,"MS Project",2
15,"Автоматизация",2
77,"Администрирование",2
98,"Cisco",2
120,"Ведение переписки",2
8,"Контекстная реклама",2
119,"Деловая этика",2
16,"Автоматизация производства",2
122,"Internet",2
3,"Windows Xp",2
124,"1С: Комплексная автоматизация",2
139,"Работа с людьми",2
140,"Умение работать в команде",2
141,"1С-Битрикс",2
142,"PHP5",2
143,"CSS3",2
2,"Helpdesk",2
146,"Администрирование серверов Linux",2
148,"Windows Server 2003",2
150,"Автоматизация технологических процессов",2
149,"Настройка DNS",2
62,"SEO",2
47,"Государственные закупки",2
204,"Расстановка приоритетов",2
66,"SMM",2
54,"Linux",2
19,"MS Visual Basic",2
207,"Планирование",2
208,"Управленческие навыки",2
26,"1С: Управление предприятием",2
206,"Техническое обслуживание",2
28,"АСУ ТП",2
17,"Borland C++",2
205,"MS Dos",2
221,"MS Outlook",1
209,"VBA",1
166,"Аудит SMM",1
165,"Email маркетинг",1
164,"Социальные сети",1
163,"Написание статей",1
167,"Ведение групп в социальных сетях",1
162,"Копирайтинг",1
161,"CMS Wordpress",1
160,"Клиентоориентированность",1
196,"iso 9001:20015",1
159,"Обновление конфигурации 1С",1
158,"Управление командой",1
169,"Oracle Pl/SQL",1
157,"Руководство коллективом",1
156,"Conflict resolution",1
155,"Customer Support",1
154,"Sales Skills",1
153,"ERP Systems",1
210,"Финансовая отчетность",1
211,"Microsoft Dynamics AX",1
214,"Техническая документация",1
213,"AXAPTA",1
152,"Управление разработкой",1
151,"ERP",1
212,"MS Axapta",1
168,"Графические редакторы",1
220,"1С: Предприятие: Бухгалтерский Учет",1
170,"ORACLE",1
191,"Работа с оргтехникой",1
187,"Настройка ПО",1
202,"Работа с поставщиками",1
188,"Работа с документами",1
189,"Сборка ПК",1
217,"Написание процедур",1
190,"Ремонт ПК",1
201,"Ценообразование",1
171,"MS Publisher",1
192,"CRM",1
200,"Организаторские навыки",1
199,"Моделирование бизнес процессов",1
198,"PMBOK",1
193,"ССП",1
197,"ANSI PMI",1
203,"Знание данной товарной категории",1
184,"Управление продажами",1
183,"Активные продажи",1
182,"B2B Продажи",1
218,"ITIL",1
181,"Навыки продаж",1
180,"Стратегическое планирование",1
179,"Навыки переговоров",1
178,"Развитие продаж",1
177,"Управление персоналом",1
176,"BIM",1
175,"подготовка документов для участия в тендерах",1
174,"Контроль оформления документов",1
215,"Администрирование серверов",1
172,"Проведение тендеров",1
219,"Коммуникабельность",1
194,"1С профессионал",1
185,"Тестирование пользовательского интерфейса",1
111,"Технические системы и средства безопасности",1
147,"Debian",1
145,"Управление производственным персоналом",1
64,"SMO",1
65,"Яндекс.Метрика",1
67,"Яндекс.Директ",1
68,"Веб-аналитика",1
69,"Google AdWords",1
70,"Системы видеонаблюдения",1
72,"Обеспечение антивирусной защиты",1
73,"Lunix",1
75,"DNS",1
76,"Atlassian Confluence",1
78,"Базы данных",1
83,"Сбор и анализ информации",1
85,"Мобильность",1
86,"MS SharePoint",1
88,"MS SQL Server",1
63,"Google Docs",1
58,"Креативность",1
57,"Наполнение контентом",1
21,"Консультирование",1
7,"Подготовка презентаций",1
9,"Брокеридж",1
10,"Маркетинг услуг",1
11,"Аналитические исследования",1
12,"Продвижение объекта",1
14,"CorelDRAW Photo Draw",1
23,"1С: Производство",1
56,"Корректура текстов",1
25,"Постановка задач разработчикам",1
30,"Инженерные системы",1
51,"Деловое общение",1
52,"Разработка регламентов",1
53,"VipNet",1
55,"техническая безопасность",1
89,"MS Visual Studio",1
