"","Key Skills","Count"
195,"Курьер",50
192,"Промоутер",50
193,"Расклейщик",50
194,"Подработка",50
28,"Linux",12
34,"Пользователь ПК",11
30,"TCP/IP",11
0,"Adobe Photoshop",10
47,"Грамотная речь",10
29,"Windows 7",10
21,"Администрирование сетевого оборудования",9
53,"MS SQL",8
70,"Информационная безопасность",8
57,"HTML",7
130,"Грамотность",7
131,"Работа с большим объемом информации",7
99,"Active Directory",7
127,"MS Visio",7
43,"Работа в команде",7
23,"Настройка сетевых подключений",7
145,"AutoCAD",7
25,"Администрирование серверов Windows",7
98,"Windows Server 2003",7
117,"MS PowerPoint",6
55,"Английский язык",6
36,"Информационные технологии",6
3,"CSS",6
44,"Деловое общение",6
284,"Проектная документация",6
60,"MS Excel",5
33,"1С: Предприятие 8",5
35,"1С программирование",5
76,"SQL",4
290,"АСУ ТП",4
108,"1C: Бухгалтерия",4
56,"1С-Битрикс",4
82,"Ремонт ПК",4
69,"Настройка ПО",4
71,"Средства криптографической защиты информации",4
104,"PHP",4
170,"Деловая переписка",4
134,"Helpdesk",4
128,"Обучение и развитие",4
102,"JavaScript",4
38,"Windows Xp",4
26,"Техническая поддержка",4
11,"Ведение групп в социальных сетях",4
207,"Hyper-V",4
24,"Настройка ПК",4
285,"Проектирование",3
202,"Delphi",3
283,"Разработка проектной документации",3
121,"Поиск информации в интернет",3
83,"Администрирование сайтов",3
14,"1С: Зарплата и управление персоналом",3
288,"Автоматизация производства",3
90,"Многозадачность",3
6,"Креативность",3
95,"MySQL",3
4,"Интернет-реклама",3
2,"Графический дизайн",3
100,"DHCP",3
199,"SMM",3
1,"Adobe Illustrator",3
162,"Windows Os",3
46,"Консультирование",3
32,"Обновление конфигурации 1С",3
27,"Cisco",3
58,"Наполнение контентом",3
187,"MS Office",3
291,"АСУ",2
255,"HTML5",2
289,"Автоматизация",2
235,"Управление проектами",2
252,"Customer Service",2
151,"Монтаж инженерных систем",2
292,"Автоматизация технологических процессов",2
287,"КИПиА",2
111,"Деловая коммуникация",2
293,"SCADA",2
224,"DNS",2
173,"Windows Server",2
184,"Сопровождение клиентов",2
294,"Производство пусконаладочных работ",2
208,"MS Exchange",2
191,"Аудит безопасности",2
286,"Autodesk Revit",2
201,"Разработка ПО",2
268,"Обучение персонала",2
152,"Прокладка кабелей",2
136,"Творческое мышление",2
197,"Разработка инструкций",2
198,"Техническая документация",2
158,"Разработка технических заданий",2
243,"Продвижение в социальных группах",2
256,"CSS3",2
129,"Умение работать в команде",2
204,"Закупка товаров и услуг",2
163,"Копирайтинг",2
231,"Windows 10",2
206,"Организаторские навыки",2
148,"1С: Управление Производственным Предприятием",2
240,"Написание текстов",2
109,"1С: Документооборот",2
16,"1С: Бухгалтерия",2
84,"Техническое обслуживание",2
52,"VMware",2
49,"Bash",2
48,"Администрирование серверов Linux",2
45,"Навыки продаж",2
39,"оформление документации",2
72,"Технические средства информационной защиты",2
15,"1С: Управление Торговлей",2
13,"CorelDRAW",2
12,"Поисковая оптимизация сайтов",2
77,"Бизнес-анализ",2
10,"Баннерная реклама",2
9,"Социальные сети",2
7,"Web-дизайн",2
81,"Google Analytics",2
50,"Nginx",2
96,"Кроссбраузерная верстка",2
86,"Продвижение сайтов",2
101,"Настройка DNS",2
87,"Яндекс.Метрика",2
88,"Веб-аналитика",2
97,"Веб-программирование",2
5,"Реклама",2
94,"CMS Wordpress",2
245,"связи с общественностью",1
239,"Локальные сети",1
321,"Ansible",1
320,"Ubuntu Server",1
241,"Подготовка презентаций",1
242,"Проведение презентаций",1
223,"Kerio Control",1
244,"Cоциальный маркетинг",1
248,"Пресс-релизы",1
246,"Составление статей",1
247,"Видео-ролики",1
322,"MS SQL Server",1
249,"Доброжелательность",1
