"","Key Skills","Count"
250,"Written Translation",1
251,"MS Outlook",1
222,"Настройка сетевого оборудования Juniper",1
238,"LAN",1
228,"MS RDS",1
237,"Ответственность",1
236,"Коммуникабельность",1
230,"AD GPO",1
330,"Управленческие навыки",1
227,"SNMP",1
226,"IPv6",1
232,"Антивирусная защита сети",1
225,"IPSec site-to-site",1
233,"Риск-менеджмент",1
253,"Sales Management",1
329,"Модификация типового решения 1С по потребности компании",1
328,"Администрирование баз данных 1С",1
234,"Ведение переговоров",1
327,"Программирование в среде 1С",1
326,"Администрирование серверов",1
325,"Формирование отчетности из 1С",1
324,"Инеграция 1С с интернет-магазином",1
323,"Обучене и поддержка польователей",1
229,"Windows Server 2012R2/2016",1
297,"MATLAB",1
257,"Сборка ПК",1
254,"CRM",1
280,"Adobe Animate",1
275,"Adobe After Effect",1
276,"Mac Os",1
309,"Контроль отгрузок",1
277,"Анимация",1
278,"Adobe Flash",1
279,"banner",1
308,"Контроль сроков годности",1
307,"Приемка груза",1
306,"Работа с поставщиками",1
305,"Инвентаризация",1
281,"Google Web Designer",1
273,"Ведение клиентской базы",1
282,"Flash-анимация",1
304,"Редакторская деятельность",1
303,"Буква Ё",1
302,"Умение работать в коллективе",1
301,"Умение принимать решения",1
300,"Написание статей",1
299,"Литературное редактирование",1
298,"программирование",1
220,"1С",1
295,"SCAD",1
274,"Управление временем",1
272,"Навыки презентации",1
319,"Apache HTTP Server",1
263,"Работа с opinion лидерами в социальных сетях",1
318,"1С: Розница",1
317,"MME",1
316,"SGSN",1
296,"MS Visual Studio",1
258,"1C",1
259,"Adobe XD",1
315,"PS Core",1
260,"Ms Exchange Server",1
261,"Zabbix",1
262,"Продвижение мероприятий компании в социальных сетях",1
264,"Аудит SMM",1
271,"Навыки переговоров",1
314,"GSM",1
313,"Radio Network Controller",1
265,"Продвижение бренда",1
266,"Проведение рекламных кампаний",1
312,"UMTS",1
267,"Холодные продажи",1
311,"BSC",1
310,"Умение планировать",1
269,"Телефонные переговоры",1
270,"Аналитика продаж",1
221,"Windows Server 2008 R2",1
166,"Написание рекламных статей",1
219,"SAN",1
218,"CCNP",1
85,"Поисковые системы",1
89,"1С: Комплексная автоматизация",1
91,"Материально-техническое обеспечение",1
92,"1С: Управление предприятием",1
93,"Системное мышление",1
103,"Jetbrains Phpstorm",1
105,"ООП",1
106,"Web Design",1
107,"Функциональное тестирование",1
110,"1С: Склад",1
112,"Внутренний контроль",1
113,"Pascal",1
114,"Turbo Pascal",1
115,"1С: Предприятие",1
116,"Работа с людьми",1
118,"MS Internet Explorer",1
119,"Работа с базами данных",1
120,"MS Access",1
122,"ip адрес",1
123,"домены",1
124,"браузер",1
125,"входящие звонки",1
126,"Анализ данных",1
132,"СКС",1
133,"HPSM",1
80,"Google AdWords",1
79,"Контекстная реклама",1
78,"Системный анализ",1
51,"PostgreSQL",1
8,"Графические редакторы",1
17,"1С: Торговля",1
18,"Внимательность",1
19,"Нацеленность на результат",1
20,"Аналитический склад ума",1
22,"Способность обучать других",1
31,"Автоматизированное рабочее место (АРМ)",1
37,"Инженерные системы",1
40,"Мобильность",1
41,"вкс",1
42,"ммс",1
54,"windows 10",1
75,"Комплексные работы по аттестации объекта с «нуля» до выдачи аттестата",1
59,"Тестирование пользовательского интерфейса",1
61,"sendpulse",1
62,"E-Commerce",1
63,"E-Mail Marketing",1
64,"Организация учебного процесса",1
65,"Он-лайн обучение",1
66,"Организация вебинаров",1
67,"Дистанционное обучение",1
68,"Веб-сервисы",1
73,"Знание принципов организационной, инженерно-технической и программно-аппаратной защиты информации",1
74,"Знание нормативно–методических документов по защите информации",1
135,"OpenOffice",1
137,"Ведение отчетности",1
138,"Точность и внимательность к деталям",1
196,"нормативно-техническая документация",1
178,"САЗ",1
179,"Первичная бухгалтерская документация",1
180,"Кассовые операции",1
181,"Аналитика",1
182,"Кассовые документы",1
183,"ККТ",1
185,"оформление заказов",1
186,"Консультирование клиентов по телефону",1
188,"Электронный документооборот",1
189,"СЭД",1
190,"LanDocs",1
200,"SEO",1
176,"Администрирование Kerio Winroute Firewall",1
203,"Планирование рекламных кампаний",1
205,"R-Keeper",1
209,"PowerShell",1
210,"Базы данных",1
211,"C++",1
212,"С#",1
213,"ORACLE",1
214,"IP-телефония",1
215,"СУБД",1
216,"Отказоустойчивые решения",1
217,"Виртуализация",1
177,"Администрирование сервисов и сетей Microsoft",1
175,"VipNet",1
139,"Проведение внутренних расследований",1
155,"Техническая эксплуатация",1
140,"Barsum",1
141,"Check Point",1
142,"Схемотехника электронного оборудования",1
143,"Altium Designer",1
144,"P-CAD",1
146,"Mathcad",1
147,"ЕСКД",1
149,"Web-сервис",1
150,"Клиент-Сервер",1
153,"Монтаж оборудования",1
154,"Производство строительно-монтажных работ",1
156,"Оптика",1
174,"Device Lock",1
157,"Internet Marketing",1
159,"Технический перевод",1
160,"Аналитические исследования",1
161,"Technical Writer",1
164,"Рерайтинг",1
165,"SEO-копирайтинг",1
167,"Перевод",1
168,"Google Docs",1
169,"Стрессоустойчивость",1
171,"Инициативность",1
172,"Создание сайтов",1
331,"Планирование",1
