"","Key Skills","Count"
8,"Git",61
28,"JavaScript",51
5,"SQL",43
29,"PHP",37
72,"Linux",35
144,"Управление проектами",32
6,"1С программирование",31
118,"Python",31
74,"1С: Предприятие 8",28
64,"Английский язык",28
90,"HTML",26
134,"1С-Битрикс",24
136,"MySQL",23
120,"PostgreSQL",23
121,"Java",21
7,"MS SQL",20
54,"HTML5",19
267,"Бизнес-анализ",19
25,"Разработка технических заданий",18
91,"CSS",18
45,"Информационные технологии",18
51,"1С: Зарплата и управление персоналом",17
115,"Scrum",16
35,"MS Visio",15
274,"Atlassian Jira",15
55,"CSS3",15
75,"1С: Документооборот",15
191,"Google Analytics",15
377,"MS Project",14
111,"Пользователь ПК",14
52,"1С: Бухгалтерия",14
369,"Управление командой",14
273,"jQuery",13
344,"Bash",13
181,"Маркетинговый анализ",13
146,"ООП",13
97,"1С: Управление Торговлей",13
198,"Яндекс.Метрика",12
192,"Аналитические исследования",12
47,"Информационная безопасность",12
37,"Работа в команде",12
2,"C#",12
176,"Internet Marketing",11
184,"Adobe Photoshop",11
102,"Контекстная реклама",11
61,"Ведение переговоров",11
82,"XML",10
272,"Agile Project Management",10
132,"Аналитическое мышление",10
302,"Системный анализ",10
41,"Node.js",10
241,"SEO",10
24,"Постановка задач разработчикам",10
252,"Администрирование серверов Linux",10
31,"iOS",10
174,"Деловая коммуникация",10
135,"Веб-программирование",9
33,"AngularJS",9
493,"TCP/IP",9
275,"Django Framework",9
164,"Настройка ПК",9
70,"PHP5",9
93,"MS PowerPoint",9
56,"React",9
254,"Яндекс.Директ",9
255,"Google AdWords",9
87,"Креативность",8
349,"CRM",8
350,"1C: Бухгалтерия",8
122,"REST",8
110,"Организаторские навыки",8
207,"Проектная документация",8
251,"Nginx",8
16,"Cистемы управления базами данных",8
43,"Настройка сетевых подключений",8
258,"Интернет-реклама",8
53,"ERP-системы на базе 1С",8
155,"Обеспечение антивирусной защиты",7
154,"Технические средства информационной защиты",7
335,"Yii",7
30,"Android",7
34,"UML",7
586,"Моделирование бизнес процессов",7
107,".NET Framework",7
3,"MS SQL Server",7
175,"Грамотная речь",7
259,"Управление интернет-проектами",7
15,"Работа с базами данных",7
156,"знание стека протоколов TCP/IP, защита от спама, установка устройств и ПО",7
199,"Анализ данных",7
157,"Анализ уязвимостей",7
153,"знание методов анализа и защиты информации",7
158,"Средства криптографической защиты информации",7
195,"Статистический анализ",7
159,"Знание принципов работы, архитектуры и характеристик основных программно-аппаратных средств",7
83,"Тестирование",7
462,"Project management",6
231,"Обновление конфигурации 1С",6
124,"1С: Торговля",6
305,"Digital Marketing",6
79,"1С: Управление Производственным Предприятием",6
221,"Администрирование",6
81,"Функциональное тестирование",6
282,"AutoCAD",6
378,"Маркетинговые исследования",6
166,"Управление персоналом",6
211,"C++",6
284,"ASP.NET",6
57,"Sass",6
62,"Проведение презентаций",6
301,"Управление продуктом",6
137,"Laravel",6
84,"SMM",6
180,"Social Media Marketing",5
287,"Многозадачность",5
278,"Оптимизация бизнес-процессов",5
228,"Навыки презентации",5
318,"входящие звонки",5
206,"MS Visual Studio",5
171,"B2B Продажи",5
216,"Настройка ПО",5
0,"Oracle Pl/SQL",5
427,"SEO оптимизация",5
429,"Поисковая оптимизация сайтов",5
326,"Системное мышление",5
387,"BPMN",5
208,"Проектный менеджмент",5
46,"Windows 7",5
487,"Веб-аналитика",4
437,"E-Commerce",4
446,"Маркетинговые коммуникации",4
