"","Vacancy Name","Count"
7,"программист 1с",24
42,"специалист по информационной безопасности",8
33,"программист php",7
223,"системный аналитик",7
41,"java разработчик",6
78,"frontend разработчик",6
76,"python разработчик",5
69,"системный администратор",5
161,"программист cms 1с битрикс bitrix",4
38,"php laravel developer",4
80,"ведущий программист 1с",4
245,"программистразработчик 1c",4
22,"технический специалист",3
205,"devops инженер",3
152,"seo специалист",3
14,"менеджер по продажам",3
203,"разработчик 1с",3
129,"технический писатель",3
17,"web разработчик",3
19,"программист 1c",3
291,"mssql server data engineer удаленно",2
295,"старший бизнес аналитик сэд",2
109,"php программист",2
225,"аналитик",2
30,"product manager",2
330,"python разработчик удаленно",2
328,"ведущий разработчик 1с",2
254,"ведущий программист 1c",2
318,"пресейл инженер",2
31,"менеджер проектов",2
265,"fullstack php yii2 developer fullstack разработчик",2
174,"project manager",2
212,"android разработчик",2
122,"разработчик c",2
278,"ведущий инженер программист",2
114,"php разработчик",2
25,"интернет маркетолог",2
178,"frontend developer",2
179,"системный администратор linux devops",2
214,"старшийведущий системный администратор",2
211,"ios разработчик",2
106,"системный администратор linux",2
273,"специалист отдела технической поддержки",1
253,"менеджер проектов по внедрению эдо",1
274,"ведущий специалист систем передачи данных инженер спд",1
275,"офис менеджер",1
252,"senior designer руководитель отдела дизайна digital агентство",1
251,"аналитик статистических исследований наука образование социология медицина",1
255,"ведущий консультант sap mmsd",1
250,"аналитик математик наука образование социология",1
249,"data scientist аналитик данных медицина наука образование социология",1
248,"ведущий веб программист",1
272,"1с консультант 1cerp 1сут11 1супп",1
257,"senior backend разработчик",1
271,"разработчик 1с wms",1
256,"системный администратор сетевой инженер",1
270,"frontend специалист фронтэндер jsangulartypescript",1
266,"заместитель начальника отдела развития учетных систем учреждения и сэд",1
258,"программист с",1
259,"ведущий аккаунт менеджер senior account manager",1
260,"продакт менеджер по курсам microsoft cisco и другим",1
261,"маркетолог smm специалист",1
262,"директор по развитию performance агентства евангелист",1
269,"team lead php laravel",1
268,"бизнес аналитик проектов внедрения по логистика retail wms crm",1
263,"системный администратор высокопроизводительных вычислительных систем визуализация",1
264,"senior python developer",1
267,"middle product manager",1
247,"заместитель it директора",1
0,"главный специалист отдела разработки программного обеспечения",1
246,"монтажник систем оп сигнализации и видеонаблюдения",1
244,"qa automation lead",1
221,"программист axapta ms dynamics",1
220,"программист 1с торговля производство",1
219,"системный анатилик",1
218,"linux администратор",1
217,"менеджер руководитель направления по клиентскому сервису",1
216,"менеджер по продажам performance маркетинг контекстная реклама seo",1
215,"project manager директор проектов",1
213,"техник отпс",1
210,"sales инженер digital signage",1
209,"руководитель отдела интернет маркетинга digital директор",1
208,"руководитель интернет магазина e commerce",1
207,"руководитель отдела контекстной рекламы",1
206,"project account manager руководитель интернет проектов",1
204,"разработчик встраиваемых систем embedded developer",1
202,"оператор программного обеспечения",1
201,"full stack web разработчик php js",1
200,"технический руководитель web разработки",1
222,"senior project manager it",1
224,"программист 1c 7782",1
226,"заместитель руководителя отдела закупки",1
236,"middle frontend developer",1
243,"специалист devops",1
242,"программист 1с ут редакция 112",1
241,"ведущий консультант аналитик 1с erp",1
240,"системный администратор высокопроизводительных вычислительных систем управление конфигурацией",1
239,"инженер i категории",1
238,"web разработчик bitrix backend разработчикbitrix php",1
237,"middle 1с битрикс разработчик frontинтеграцияback",1
276,"менеджер по маркетингу",1
227,"заместитель руководителя отдела маркетинга",1
234,"full stack web developer caspnetjsreact",1
233,"senior angular developer",1
232,"программист cnet",1
231,"консультант1сархитектор 1с",1
230,"middle react developer",1
229,"программист 1с г владивосток",1
228,"веб разработчик",1
235,"заместитель руководителя проекта по монтажу систем мультимедиа",1
287,"консультант sap s4 hana pp планирование и выполнение производства",1
277,"ведущий инженер по асуп",1
337,"главный специалист информационной безопасности",1
345,"ios senior разработчик",1
344,"middle php разработчик",1
343,"технический писатель remote английский язык",1
342,"react native developer",1
341,"fullstack разработчик pythondjango",1
340,"руководитель отдела интернет маркетинга",1
339,"программист php bitrix",1
338,"web разработчик backend",1
336,"team lead 1c teh lead",1
347,"data scientist",1
335,"инженер радиосвязи усилители сотовой связи",1
334,"старший системный администратор",1
333,"веб разработчик fullstack",1
332,"qa engineer team lead",1
331,"сервис менеджер мультимедийные системы мультимедийное оборудование",1
329,"программист 1с бп зуп crm унф",1
327,"разработчик microsoft bi",1
326,"креативный директорпродюсер smm",1
346,"android senior разработчик",1
348,"web разработчик back end c",1
