"","Key Skills","Count"
60,"Git",41
133,"PostgreSQL",29
74,"JavaScript",27
28,"Управление проектами",25
114,"Node.js",21
5,"SQL",20
79,"Java",18
256,"MongoDB",16
13,"1С: Зарплата и управление персоналом",14
32,"ООП",14
38,"PHP",13
239,"Python",13
3,"Linux",12
49,"1С: Зарплата и кадры",12
50,"1С программирование",12
57,"1С: Комплексная автоматизация",11
68,"C#",11
55,"1С: Управление Производственным Предприятием",11
214,"Многозадачность",10
267,"Elasticsearch",10
120,"React",10
20,"Английский язык",10
117,"Atlassian Jira",10
115,"CSS",10
270,"C++",9
69,"MS SQL",9
272,"руководство командой разработчиков",9
211,"1C: Зарплата и кадры",9
210,"Кадровое делопроизводство",9
212,"Расчет зарплаты",9
116,"HTML",9
213,"Кадровый менеджмент",9
215,"Автоматизация процессов управления персоналом",9
102,"Работа в команде",8
173,"Teamleading",8
36,"MySQL",8
24,"Adobe Photoshop",7
259,"Redis",7
223,"Ruby On Rails",7
274,"Microsoft Visual Studio",7
273,"C/C++",7
188,"HTML5",6
15,"1С: Бухгалтерия",6
265,"Docker",6
190,"Spring Framework",6
6,"1С: Предприятие 8",6
70,"ASP.NET",6
261,"REST",6
22,"Пользователь ПК",6
98,"MS PowerPoint",6
31,"MVC",6
73,"1С-Битрикс",6
224,"docker",5
271,"Руководство коллективом",5
225,"NoSQL",5
121,"Redux",5
222,"Elixir",5
162,"XML",5
39,"Adobe After Effect",5
18,"MS SQL Server",5
41,"Cinema 4D",5
45,"CorelDRAW",5
46,"Наружная реклама",4
71,".NET Framework",4
352,"Kubernetes",4
220,"Scrum",4
134,"Базы данных",4
48,"1С: Управление Торговлей",4
51,"1С: Документооборот",4
10,"Разработка технических заданий",4
33,"jQuery",4
1,"Информационная безопасность",4
206,"Agile Project Management",4
204,"RabbitMQ",4
308,"CSS3",4
136,"Cистемы управления базами данных",3
228,"SPA",3
177,"AutoCAD",3
372,"Apache Maven",3
357,"Nginx",3
27,"Internet Marketing",3
107,"Подготовка презентаций",3
229,"Cordova",3
19,"Администрирование серверов Windows",3
234,"Atlassian Confluence",3
403,"Unity",3
240,"Django Framework",3
118,"Аналитическое мышление",3
123,"Yii",3
4,"Информационные технологии",3
9,"MS Visio",3
124,"ORACLE",3
7,"BPMN",3
129,"Google Analytics",3
