"","Vacancy Name","Count"
69,"leadsenior nodejs backend в анапу",10
46,"программист 1с зуп",8
71,"ведущий разработчик с",6
111,"team lead data science",5
51,"middlesenior elixir developer remote",5
9,"3d дизайнер моушен дизайнер",4
100,"senior data scientist remote",3
18,"senior php developer",3
17,"senior 1c bitrix developer",3
53,"senior frontend developer remote",3
97,"product owner менеджер продукта управление товарными запасами",3
26,"senior frontend developer",3
10,"программист 1c",3
3,"ведущий системный аналитик",3
104,"руководитель направления разработки",2
106,"senior android developer",2
55,"ios разработчик",2
123,"программист java senior",2
23,"smm менеджер",2
136,"team leadsenior developer",2
103,"senior nodejs разработчик модуль звонков",1
105,"senior ios developer",1
102,"ведущий разработчик golang",1
107,"senior android разработчик",1
101,"senior web developer reactredux nodejs java kotlin",1
99,"fullstack developer",1
98,"team lead ведущий разработчик",1
0,"начальник отдела криптографической защиты",1
96,"senior java developer e commerce",1
95,"c разработчик full stack back end",1
108,"начальник отдела сопровождения 1c",1
93,"frontend разработчик reactjs",1
92,"ведущий разработчик android",1
91,"seniorlead java developer remote",1
90,"eclipse разработчик",1
89,"руководитель отдела разработки 1с",1
88,"senior java developer на проекте honeywell",1
87,"тест менеджер",1
86,"руководитель отдела маркетинга it по",1
85,"senior ruby developer",1
84,"руководитель группы клиентской разработки teamlead front end mobile flutter",1
83,"главный разработчик dwh",1
82,"старший инженер по автоматизации тестирования",1
94,"product developer c",1
114,"devops engineer",1
109,"программист python",1
137,"senior software developer c linux",1
130,"hr business partner",1
131,"js разработчик js developer",1
132,"backend разработчик",1
133,"php разработчик",1
134,"golang ведущий разработчик",1
135,"senior java разработчик",1
138,"chief technical officerсто",1
110,"python senior developer",1
139,"senior devops санкт петербург",1
140,"senior net developer",1
141,"chief technical officer team lead",1
142,"системный администратор",1
143,"full stack developer",1
144,"net team lead",1
129,"senior java backend developer remote",1
128,"lead python engineer удаленная работа",1
127,"senior java разработчик единый сервис аутентификации",1
126,"шеф редактор",1
125,"интернет маркетолог",1
124,"программист java",1
122,"middle php разработчик в департамент технической поддержки",1
121,"solidity javascript nodejs developer",1
120,"frontend developer",1
119,"middle front end разработчик в департамент технической поддержки",1
118,"solidity программист ethereum blockchain developer",1
117,"developer rd blockchain",1
116,"программист разработчик",1
115,"разработчик go",1
80,"руководитель группы sap mmsd sap mmsd team leader",1
113,"инженер проектировщик кипиа и системы связи",1
112,"инженер проектировщик",1
81,"специалист ит",1
73,"frontend разработчик vue",1
79,"senior middle java разработчик",1
22,"ведущий ит аудитор",1
38,"aspnet developer full stack",1
37,"мастер электромонтажного участка",1
36,"head of operations saint petersburg",1
35,"frontend разработчик удаленная работа",1
34,"golang senior разработчик",1
33,"менеджер по проектам",1
32,"lead automation qa",1
31,"c senior разработчик движка криптобиржи",1
30,"администратор баз данных postgresql dba",1
29,"head of digital marketing",1
28,"архитектор разработчик biolap",1
27,"php разработчик уровня senior",1
25,"web разработчик",1
24,"монтажник слаботочных систем",1
21,"руководитель направления информационной безопасности",1
78,"product manager",1
20,"архитектор 1с",1
19,"разработчик qlikview",1
16,"программист 1с в офисе г химки",1
15,"ведущий разработчик c",1
14,"devops specialist",1
13,"руководитель отдела продаж и развития клиентов",1
12,"qa lead",1
11,"team lead руководитель группы разработки",1
8,"3d художник анимация графикамоушен дизайнер",1
7,"php fullstack разработчик",1
6,"менеджер интернет продаж",1
5,"dwhbi аналитик",1
4,"devops инженер",1
2,"методолог 1с",1
39,"senior java back end developer",1
40,"продуктовый дизайнер uxui",1
41,"системный аналитик",1
42,"системный аналитик разработка по",1
77,"backend developerразработчик php",1
76,"data engineer",1
75,"руководитель отдела 1с архитектор teamlead",1
74,"ведущий пресейл менеджерpresales engineer",1
1,"ведущий программист 1с",1
72,"tech lead с",1
70,"senior analyst",1
68,"senior ruby on rails developer",1
67,"старший разработчик c aspnet core 3",1
66,"старший разработчик python",1
65,"database administrator clickhouse",1
64,"архитектор баз данных",1
63,"digital маркетолог",1
62,"системный архитектор web",1
61,"эксперт функциональный архитектор 1сerp",1
60,"программист php",1
59,"senior backend developer java",1
58,"senior python developer",1
57,"senior php разработчик",1
56,"java developer",1
54,"арт директор art director gamedev",1
52,"full stack team lead",1
50,"руководитель it проектов",1
49,"архитектор dwhbi",1
48,"специалист отдела анализа рынка",1
47,"программист 1с",1
45,"заместитель ит директора",1
44,"backend c разработчик",1
43,"ведущий разработчик net web приложения",1
145,"специалист по информационной безопасности",1
