"","Vacancy","Value","Count"
1624,"инженер асутп","полная занятость",5
706,"специалист 1с","полная занятость",5
217,"начальник отдела информационных технологий","полная занятость",5
2228,"архитекторпрограммист 1с","полная занятость",5
739,"консультант аналитик 1с","полная занятость",5
1069,"разработчик 1с","полная занятость",5
768,"ведущий инженер","полная занятость",5
1430,"ведущий программист 1c","полная занятость",5
718,"консультант 1c","полная занятость",5
3544,"windows инженер","полная занятость",5
1071,"senior net developer","полная занятость",5
1522,"оператор колл центра","полная занятость",5
2346,"инженер монтажник","полная занятость",5
8,"android developer","полная занятость",4
518,"uxui дизайнер","полная занятость",4
517,"uxui дизайнер","проектная работа",4
1844,"руководитель отдела it","полная занятость",4
12,"ведущий системный аналитик","полная занятость",4
58,"системный администратор linux devops","полная занятость",4
1289,"художник аниматор","частичная занятость",4
909,"младший системный администратор","полная занятость",4
1008,"frontend разработчик удаленно","полная занятость",4
1795,"выездной компьютерный мастер","полная занятость",4
235,"seo специалист","частичная занятость",4
1596,"программистразработчик 1c","полная занятость",4
326,"таргетолог","полная занятость",4
67,"специалист по обслуживанию банковского оборудования","полная занятость",4
957,"специалист call центра","полная занятость",4
3350,"продавец консультант в салон сотовой связи","полная занятость",4
1746,"компьютерный специалист","полная занятость",4
1013,"руководитель it проектов","полная занятость",4
3737,"начальник отдела продаж b2c г саратов","полная занятость",4
1165,"разработчик android","полная занятость",4
4091,"техник электрик","полная занятость",4
1772,"менеджер по продажам удаленно","полная занятость",4
940,"программист cms 1с битрикс bitrix","полная занятость",4
298,"инженер по нормативно технической документации пуско наладочных работ","полная занятость",4
29,"менеджер it проектов","полная занятость",4
293,"seo специалист оптимизатор","полная занятость",4
1564,"менеджер по продажам в it компанию","полная занятость",4
1326,"сценарист игр","проектная работа",4
441,"менеджер по продажам услуг","полная занятость",4
986,"html верстальщик","проектная работа",4
892,"техник","полная занятость",4
4066,"менеджер в интернет магазин","полная занятость",4
1273,"3d дизайнер моушен дизайнер","полная занятость",4
40,"full stack разработчик","полная занятость",4
2375,"инженер электросвязи","полная занятость",4
460,"руководитель интернет проекта","полная занятость",4
1,"java developer","полная занятость",4
268,"product manager","полная занятость",4
389,"специалист по контекстной рекламе","полная занятость",4
3111,"специалист по активным продажам","частичная занятость",4
386,"web аналитик","полная занятость",4
3406,"системный администратор специалист технической поддержки","полная занятость",4
385,"помощник seo оптимизатора","полная занятость",4
