"","Vacancy","Value","Count"
780,"старший программист 1с","полный день",5
803,"руководитель it отдела","полный день",5
1579,"ведущий программист 1c","полный день",5
3493,"продавец в салон связи","полный день",5
387,"инженер по нормативно технической документации пуско наладочных работ","вахтовый метод",4
409,"менеджер по продажам","гибкий график",4
4280,"менеджер в интернет магазин","полный день",4
382,"seo специалист оптимизатор","полный день",4
314,"оператор call центра","сменный график",4
370,"администратор сайта","удаленная работа",4
4305,"техник электрик","полный день",4
358,"директолог","полный день",4
597,"трафик менеджер","полный день",4
1219,"php программист middle","полный день",4
2650,"специалист по продажам","полный день",4
416,"таргетолог","полный день",4
275,"frontend developer","полный день",4
591,"верстальщик","полный день",4
270,"аналитик 1с","полный день",4
218,"специалист отдела технической поддержки","полный день",4
455,"php программист","удаленная работа",4
1413,"3d дизайнер моушен дизайнер","полный день",4
562,"руководитель интернет проекта","полный день",4
1296,"разработчик android","полный день",4
1665,"ведущий инженер программист","полный день",4
557,"web разработчик","удаленная работа",4
481,"интернет маркетолог специалист по контекстной рекламе","полный день",4
482,"помощник seo оптимизатора","полный день",4
487,"специалист по контекстной рекламе","полный день",4
507,"менеджер интернет магазина","удаленная работа",4
161,"программист delphi","полный день",4
3316,"специалист по активным продажам","гибкий график",4
1204,"full stack software engineer","удаленная работа",4
2585,"мобильный сервисный инженер","сменный график",4
1792,"техник в отдел информационных технологий","полный день",4
3729,"руководитель 1с консалтинга","полный день",4
2565,"инженер электросвязи","полный день",4
2009,"руководитель отдела it","полный день",4
1468,"сценарист игр","удаленная работа",4
3747,"customer support officer with english and german language","удаленная работа",4
1202,"senior net developer","удаленная работа",4
819,"специалист технической поддержки 1с","полный день",4
3951,"начальник отдела продаж b2c г саратов","полный день",4
831,"программист микроконтроллеров","полный день",4
836,"инженер электроник","полный день",4
1984,"монтажник слаботочных систем","гибкий график",4
854,"консультант аналитик 1с","полный день",4
70,"senior ios developer","полный день",4
2545,"оператор станка с чпу","полный день",4
870,"системный инженер","полный день",4
1824,"инженер проектировщик асу тп","полный день",4
1063,"программист cms 1с битрикс bitrix","полный день",4
48,"менеджер it проектов","полный день",4
1956,"выездной компьютерный мастер","полный день",4
1932,"менеджер по продажам удаленно","удаленная работа",4
1032,"младший системный администратор","полный день",4
1858,"специалист по работе с корпоративными клиентами","полный день",4
17,"системный аналитик","гибкий график",4
12,"android developer","полный день",4
1905,"компьютерный специалист","полный день",4
983,"оператор пк","удаленная работа",4
1127,"unity developer","удаленная работа",4
