"","Key Skills","Count"
10,"Пользователь ПК",49
24,"Грамотная речь",33
22,"Работа в команде",29
16,"Грамотность",28
58,"Adobe Photoshop",24
4,"HTML",19
18,"Деловое общение",17
56,"Наполнение контентом",14
131,"Английский язык",14
3,"CSS",14
19,"Телефонные переговоры",11
21,"Деловая переписка",11
55,"Поиск информации в интернет",10
84,"Google Docs",10
14,"Написание текстов",10
23,"Клиентоориентированность",10
152,"HTML5",9
95,"Креативность",9
41,"Windows 7",8
17,"Работа с людьми",8
243,"Adobe Illustrator",8
175,"Работа с базами данных",8
82,"MS Excel",8
44,"Прием и распределение телефонных звонков",7
112,"Настройка ПК",7
57,"Обучение и развитие",7
6,"Информационные технологии",7
45,"Работа с большим объемом информации",6
48,"Консультирование клиентов по телефону",6
43,"Консультирование",6
32,"Техническое обслуживание",6
0,"SEO",6
31,"Ремонт ПК",6
12,"Настройка сетевых подключений",6
69,"MS SQL",5
38,"Администрирование",5
29,"Ведение отчетности",5
105,"1С: Предприятие 8",5
160,"Консультирование клиентов",5
94,"Умение работать в команде",5
33,"Офисная техника",4
15,"Написание сценариев",4
70,"Базы данных",4
2,"Навыки межличностного общения",4
8,"Информационная безопасность",4
167,"Организаторские навыки",4
153,"Копирайтинг",4
68,"SQL",4
104,"Internet",4
145,"Ведение групп в социальных сетях",4
113,"Настройка ПО",4
114,"1С: Документооборот",4
66,"Сборка ПК",3
98,"Работа с оргтехникой",3
101,"Активные продажи",3
85,"SEO оптимизация",3
83,"Администрирование сайтов",3
1,"1С-Битрикс",3
136,"MS Office",3
107,"Навыки продаж",3
108,"CorelDRAW",3
135,"Google Chrome",3
149,"Социальные сети",3
137,"1С: Торговля",3
54,"MS Visio",3
11,"Умение работать в коллективе",3
47,"входящие звонки",3
27,"Работа с жалобами клиентов",3
26,"Ведение переписки",3
25,"Деловая коммуникация",3
36,"Многозадачность",3
35,"Системы видеонаблюдения",3
13,"CMS Wordpress",3
28,"Работа с претензиями",2
229,"Автоматизированное рабочее место (АРМ)",2
134,"Mac Os",2
121,"Unity",2
34,"Выездное обслуживание",2
140,"SAP",2
118,"Высокая скорость печати",2
111,"MS Word",2
110,"MS Outlook",2
109,"Организация мероприятий",2
40,"Linux",2
139,"ERP",2
169,"Работа с кассой",2
227,"Документальное сопровождение",2
170,"Кассовые операции",2
