"","Vacancy Name","Count"
32,"младший seo специалист специалист по интернет рекламе",1
33,"контент редактор",1
36,"web мастерконтент менеджер",1
46,"junior 3d artist mobile games",1
38,"государственный налоговый инспектор отдела ит",1
39,"технический специалист",1
40,"специалист",1
41,"смм менеджер",1
42,"оператор базы данных",1
43,"специалист отдела информационных технологий",1
25,"оператор call центра",1
24,"консультант клиентское ит подразделение",1
23,"художник конструктор web дизайнер",1
21,"консультант в чат поддержки",1
20,"специалист по обработке почтовых обращений от ключевых клиентов",1
19,"консультант контактного центра",1
16,"специалист группы технического учета",1
15,"системный администратор в г новотроицк",1
14,"специалист call центра",1
12,"дежурный специалист технической поддержки",1
11,"специалист 1 категории службы технической поддержки",1
10,"электромеханик связи",1
8,"техник диспетчер",1
7,"специалист по работе с гостями",1
6,"seo специалист",1
4,"требуется на постоянную основу контент менеджер удалено",1
3,"трафик менеджер",1
45,"junior c unity developer",1
48,"главный специалист технической поддержки",1
88,"оператор кинооборудования",1
78,"менеджер отдела телемаркетинга",1
70,"продавец консультант в салон связи",1
71,"помощник менеджера по работе с клиентами",1
72,"удаленный менеджер интернет магазина оператор call центра на дому",1
75,"главный специлист отдела программного сопровождения",1
76,"инженер по безопасности информации",1
77,"seo специалист оптимизатор",1
79,"оператор в отдел доставки",1
50,"инженер технической поддержки отдела криптографической защиты информации",1
81,"инженер системный программист",1
82,"специалист отдела технологического обеспечения",1
83,"специалист по ценообразованию",1
84,"монтажник скс",1
85,"специалист по крауд маркетингулинкбилдингу в seo отдел linkbuilder",1
86,"администратор в киберспортивный клуб feniiixgg",1
69,"продавец",1
68,"специалист ит",1
67,"специалист технической поддержки сапр",1
65,"продавец консультант пгт усть абакан",1
64,"специалист отдела координации специалист по работе с клиентами",1
63,"инженер электросвязи выездной",1
62,"продавец консультант сеть салонов сотовой связи сотик",1
61,"специалист первой линии технической поддержки",1
60,"администратор компьютерного клуба",1
59,"ассистент инженера асу",1
58,"pr менеджер",1
57,"специалист колл центра",1
56,"контент менеджер удалённо",1
55,"визуальный ассистент",1
54,"контент менеджераналитик",1
53,"менеджер социальных сетей контент менеджер smm менеджер",1
52,"контент менеджер в спутник только удаленно",1
159,"специалист линии консультации 1с стажер консультант 1с",1
