"","Vacancy Name","Count"
74,"оператор входящей линии дистанционно",24
142,"специалист по обработке заказов и сбору отзывов",9
18,"контент менеджер",8
126,"верстальщик",8
87,"техник в отдел информационных технологий",4
5,"сценарист игр",4
22,"специалист технической поддержки",4
1,"администратор сайта",3
89,"системный администратор",3
28,"продавец консультант",3
44,"менеджер интернет магазина",3
73,"специалист службы технической поддержки",2
66,"инженер электросвязи",2
26,"инженер технической поддержки",2
101,"ведущий специалист по защите информации",2
133,"оператор контактного центра",2
37,"помощник seo специалиста",2
17,"инженер",2
34,"smm специалист",2
2,"специалист по защите информации",2
47,"оператор пк",2
9,"помощник системного администратора",2
49,"стажер sap",2
13,"менеджер по работе с клиентами улкирова",2
51,"менеджер по работе с клиентами",2
112,"офис менеджер",1
110,"консультант службы доставки",1
119,"frontend разработчик",1
111,"оператор call центра входящая линия",1
116,"ведущий эксперт",1
113,"специалист по связям с общественностью гис жкх",1
117,"инженер куратор",1
114,"специалист по работе с клиентами",1
115,"специалист личной поддержки tele2",1
118,"it специалист системный администратор",1
104,"дежурный администратор мясенево",1
109,"контент менеджер наполнение сайта",1
108,"специалист информационной и технической поддержки",1
92,"редактор сайтовадминистратор сайтов",1
93,"главный редактор управленческого раздела базы знаний leadstartup",1
94,"монтажник слаботочных систем",1
95,"специалист отдела контроля ночь",1
96,"оператор интернет магазина",1
97,"специалист по обработке входящих вызовов",1
98,"главный специалист по установкеобслуживанию оборудования глонассgps",1
99,"оператор call центра банка входящие звонки",1
100,"специалист по обслуживанию абонентов",1
102,"оператор call центра удаленно",1
103,"техник по обслуживанию игровых аппаратов",1
121,"специалист контактного центра tele2",1
105,"техник электрик гсаяногорск",1
106,"специалист 2 категории службы технической поддержки",1
107,"интернет маркетолог",1
120,"оператор отдела взыскания",1
0,"специалист по работе с репутацией в интернете",1
122,"мойщик тарыкотломойщик",1
151,"менеджер в салон связи",1
145,"редактор на сайтконтент менеджер",1
146,"главный специалист направление работы информационное обеспечение деятельности",1
147,"техник отдела технических средств обучения и охраны",1
148,"консультант отдела информатизации",1
149,"помощник менеджера веб проектов",1
150,"слесарь кипиа 6 разряда",1
152,"оператор технической поддержки",1
143,"менеджер отдела технической поддержки",1
153,"контент менеджеркопирайтер",1
154,"специалист по обслуживанию банковского оборудования",1
155,"специалист отдела технического сопровождения",1
156,"техник",1
157,"инженер связи",1
158,"специалист координатор сервисных заявок",1
144,"специалист по информационной безопасности",1
141,"специалист службы безопасности",1
123,"инженер инженерно технической службы гостиничного комплекса балтийская звезда",1
131,"специалист по поддержке чата домашний агент г пенза",1
124,"продавец консультант салона связи",1
125,"начинающий специалист промокоординатор",1
91,"контент менеджерредактор сайта",1
128,"специалист по поддержке чата домашний агент г уфа",1
129,"специалист по поддержке чата домашний агент г оренбург",1
130,"специалист по поддержке чата домашний агент г волгоград",1
132,"оператор в отдел доставки заказов",1
140,"главный специалист",1
134,"специалист технической поддержки федеральная it компания",1
135,"специалист технической поддержки help desk",1
136,"инженер help desk",1
137,"специалист обработки web чатов",1
138,"менеджер социальных сетей",1
139,"сетевой инженер",1
127,"специалист по поддержке чата домашний агент",1
80,"специалист по кодированию и расчетам за тепловую энергию и горячее водоснабжение",1
90,"инженер в отдел it",1
35,"маркетолог интернет магазина",1
27,"ведущий инженер электроник отдела технического обеспечения",1
29,"эксперт",1
30,"специалист отдела контроля клиентского сервиса прослушка",1
31,"специалист отдела консалтинга и инициации проектов",1
