"","Key Skills","Count"
57,"Пользователь ПК",35
72,"Настройка ПК",27
70,"Настройка сетевых подключений",23
86,"Грамотная речь",23
40,"Ремонт ПК",23
67,"Windows 7",21
25,"Adobe Photoshop",21
74,"Настройка ПО",20
31,"Грамотность",19
87,"Работа в команде",19
35,"TCP/IP",17
41,"Техническое обслуживание",17
34,"Наполнение контентом",17
28,"HTML",16
45,"Администрирование сетевого оборудования",16
13,"SEO",15
4,"Контекстная реклама",14
281,"Техническая поддержка",14
38,"Helpdesk",13
1,"Работа с большим объемом информации",13
8,"Google Analytics",13
147,"Информационные технологии",13
27,"CSS",12
81,"Копирайтинг",12
23,"1С-Битрикс",12
39,"Linux",12
44,"Администрирование серверов Windows",12
11,"Интернет-реклама",11
177,"Клиентоориентированность",11
84,"MS Excel",10
185,"1С: Предприятие 8",10
80,"Написание текстов",10
73,"Internet",10
61,"SQL",9
189,"Консультирование",9
7,"Яндекс.Метрика",9
76,"Офисная техника",8
64,"Active Directory",8
12,"Поиск информации в интернет",8
155,"MySQL",8
78,"Написание статей",8
100,"Сборка ПК",7
160,"Английский язык",7
47,"Умение работать в команде",7
43,"Администрирование серверов Linux",7
17,"SMM",7
75,"Системы видеонаблюдения",7
18,"Поисковая оптимизация сайтов",7
19,"Управление проектами",7
24,"CMS Wordpress",7
36,"MS SQL",7
186,"Выездное обслуживание",7
153,"Активные продажи",6
93,"Деловое общение",6
200,"Консультирование клиентов по телефону",6
161,"Обучение и развитие",6
91,"Деловая коммуникация",6
85,"Ответственность",6
69,"MS Office",6
106,"MS PowerPoint",6
21,"Администрирование сайтов",6
15,"Интернет маркетинг",6
46,"Монтаж оборудования",6
248,"Работа с жалобами клиентов",5
29,"SEO оптимизация",5
92,"Деловая переписка",5
79,"Телефонные переговоры",5
337,"Mac Os",5
142,"MS Visio",5
276,"Лидогенерация",5
20,"Продвижение сайтов",5
171,"PHP",5
154,"MS Outlook",5
22,"Internet Marketing",5
6,"Google AdWords",5
123,"Разработка технических заданий",5
66,"Windows Server 2003",5
190,"Консультирование клиентов",5
