"","Key Skills","Count"
86,"Пользователь ПК",23
36,"Настройка сетевых подключений",21
38,"Настройка ПК",20
14,"Работа в команде",17
35,"Windows 7",17
39,"Настройка ПО",14
45,"Работа с большим объемом информации",14
37,"Ремонт ПК",13
0,"Adobe Photoshop",12
9,"Грамотная речь",9
57,"Техническая поддержка",8
49,"Деловая переписка",8
50,"TCP/IP",8
56,"Администрирование сетевого оборудования",8
62,"Наполнение контентом",8
32,"Копирайтинг",7
13,"Сборка ПК",7
99,"Информационные технологии",7
51,"Английский язык",7
19,"Управление проектами",7
67,"Креативность",7
126,"Internet",7
85,"Техническое обслуживание",7
2,"Грамотность",7
53,"Администрирование серверов Windows",6
71,"Написание текстов",6
106,"Linux",6
97,"Helpdesk",6
55,"Администрирование сайтов",6
3,"SEO оптимизация",5
102,"Windows Xp",5
125,"MS Excel",5
8,"Деловое общение",5
7,"1С-Битрикс",5
6,"HTML",5
249,"Обучение и развитие",5
29,"Контекстная реклама",4
44,"Работа с базами данных",4
269,"1С: Управление Торговлей",4
82,"Ведение переговоров",4
61,"Интернет-реклама",4
1,"Написание статей",4
96,"Ведение групп в социальных сетях",4
43,"MS Outlook",4
15,"Клиентоориентированность",4
42,"MS PowerPoint",4
40,"Ответственность",4
98,"Настройка DNS",4
4,"SEO-копирайтинг",4
25,"Internet Marketing",4
70,"Поиск информации в интернет",4
164,"Офисная техника",4
81,"Холодные продажи",4
212,"Системы видеонаблюдения",3
130,"Составление семантического ядра",3
300,"Работа с людьми",3
30,"Яндекс.Метрика",3
88,"Работа с ТМЦ",3
83,"B2B Продажи",3
84,"Активные продажи",3
87,"Документооборот",3
243,"Производство строительно-монтажных работ",3
216,"Навыки межличностного общения",3
118,"Корректура текстов",3
117,"Редактирование текстов",3
113,"Графические редакторы",3
209,"1С: Предприятие 8",3
211,"Средства криптографической защиты информации",3
26,"CRM",3
54,"Windows Server 2003",3
47,"Информационная безопасность",3
142,"Аудит поисковой видимости сайта",3
12,"Умение работать в коллективе",3
65,"SEO",3
254,"Техническая документация",3
174,"Делопроизводство",3
34,"SMM",3
175,"CSS",3
169,"SQL",3
177,"JavaScript",3
119,"Охота",2
293,"CSS3",2
139,"Яндекс.Директ",2
168,"Microsoft Access",2
121,"Активный отдых",2
165,"Работа с оргтехникой",2
116,"Обзоры",2
115,"Статьи",2
114,"Умение работать в команде",2
162,"Разработка инструкций",2
163,"Базы данных",2
112,"Рерайтинг",2
159,"Delphi",2
124,"Водительское удостоверение категории B",2
122,"Интервьюирование",2
247,"Телефонные переговоры",2
313,"Многозадачность",2
173,"Высокая скорость печати",2
153,"Поисковая оптимизация мобильной версии сайта",2
178,"PHP",2
147,"Подготовка отчетов",2
203,"AutoCAD",2
127,"Внимательность",2
128,"CMS Wordpress",2
129,"Лидогенерация",2
206,"MS Office",2
132,"Email маркетинг",2
272,"1С программирование",2
207,"Прокладка кабелей",2
270,"Консультативные продажи",2
91,"Аналитическое мышление",2
109,"Active Directory",2
228,"Холодные звонки",2
68,"Cоциальный маркетинг",2
66,"Social Media Marketing",2
64,"Управление интернет-проектами",2
63,"Организация мероприятий",2
256,"1С: Склад",2
233,"внимательность",2
52,"Консультирование",2
48,"Электронный документооборот",2
33,"Таргетинг",2
31,"Google Analytics",2
28,"Интернет маркетинг",2
236,"Git",2
238,"Монтаж оборудования",2
239,"Выездное обслуживание",2
18,"WEB аналитика",2
17,"Управление командой",2
244,"Стрессоустойчивость",2
258,"Складской Учет",2
59,"Мини-АТС",2
266,"Технический перевод",2
103,"Дистанционное обучение",2
93,"Cистемы управления базами данных",2
107,"Системное мышление",2
89,"Деловая коммуникация",2
95,"Продвижение бренда",2
76,"Уверенный пользователь ПК",2
340,"Обучение",2
263,"Складская логистика",2
343,"Строительство",2
80,"Поиск и привлечение клиентов",2
90,"Технические средства информационной защиты",2
289,"MySQL",1
271,"Навыки работы с возражениями",1
253,"Контроль исправности оборудования",1
264,"Письменный перевод",1
290,"Веб-программирование",1
292,"Drupal API",1
265,"Устный перевод",1
291,"Создание сайтов",1
287,"PHP5",1
252,"Автоматизация технологических процессов",1
251,"Управление производством",1
294,"phpMyAdmin",1
267,"Перевод",1
250,"Планирование карьеры",1
295,"Установка ПО",1
288,"Администрирование серверов Linux",1
285,"Навыки переговоров",1
255,"Инвентаризация",1
277,"1С: Документооборот",1
273,"Borland Delphi",1
260,"Учет ТМЦ",1
257,"Приемка груза",1
274,"1С: Торговля",1
261,"Ответственное хранение",1
