"","Vacancy Name","Count"
3,"android разработчик",2
4,"ios разработчик",2
5,"смоchief marketing officer",2
0,"chief technology officer cto",1
28,"html верстальщик",1
22,"координатор по аварийным заявкам",1
23,"монтажник по подключению интернета и телевидения юридическим лицам",1
24,"выездной специалист по телевидению и интернету",1
25,"it loyihalar boshqaruvchisi yordamchisi",1
26,"it специалист специалист технической поддержки",1
27,"разработчик приложений клиент серверной api",1
30,"рекламный агент",1
29,"специалист по подбору персонала в сфере ит",1
20,"проектный менеджер",1
31,"торговый агент менеджер по продажам",1
32,"преподаватель интернет маркетинга",1
33,"программист 1c",1
34,"3d графист",1
21,"линейный мастер спд интернет провайдер freelink",1
18,"2d художник аниматор рисование мультфильмов",1
19,"2d художник аниматор",1
1,"web разработчик",1
17,"риэлтор винсент недвижимость",1
16,"контент менеджер",1
15,"технический директор ит",1
14,"backend разработчик net core 3",1
13,"программист 1с",1
12,"backend разработчик php",1
11,"chief technology officer",1
10,"администратор серверов unixwindows администратор базы данных субд informix ms sql server",1
9,"web разработчик php разработчик",1
8,"дата инженер data engineer",1
7,"заместитель директора департамента развития информационных систем",1
6,"директор по маркетингу",1
2,"руководитель управления разработки информационных систем разработчик по",1
35,"middlesenior golang php разработчик",1
