"","Key Skills","Count"
5,"SQL",7
28,"Git",7
24,"ООП",6
1,"Java",5
50,"Работа в команде",5
15,"Управление проектами",5
57,"Linux",4
91,"Поиск информации в интернет",4
6,"PostgreSQL",4
90,"Пользователь ПК",4
112,"Грамотность",4
56,"PHP",3
47,"Разработка ПО",3
33,"Запуск новых продуктов",3
32,"Креативность",3
31,"Adobe Photoshop",3
0,"MySQL",3
29,"iOS",3
4,"JavaScript",3
86,"Android",2
2,"C#",2
63,"1С: Предприятие 8",2
65,"Работа с большим объемом информации",2
95,"Проведение презентаций",2
115,"Планирование карьеры",2
44,"Организаторские навыки",2
111,"Ориентация на результат",2
18,"Руководство коллективом",2
108,"Windows 7",2
35,"Многозадачность",2
34,"Разработка нового продукта",2
97,"Активные продажи",2
17,"Информационные технологии",2
98,"Холодные продажи",2
27,"Objective-C",2
21,"Cистемы управления базами данных",2
100,"Adobe Illustrator",2
37,"Управление бюджетом",2
104,"Рисования",1
102,"Покадровая анимация",1
121,"CSS",1
120,"Управление персоналом",1
119,"MS Word",1
118,"Unix",1
103,"Основы 12 принципов анимации",1
122,"HTML",1
117,"Mac Os",1
99,"Photoshop",1
109,"MS Access",1
116,"Настройка ПО",1
107,"MS PowerPoint",1
105,"Графический дизайн",1
114,"Обучение и развитие",1
113,"Высокая скорость печати",1
96,"Тренинги",1
106,"Adobe After Effect",1
110,"Системный подход",1
101,"Clip paint",1
130,"Рекрутмент",1
123,"TCP/IP",1
148,"Внутренняя оптимизация сайта",1
142,"Интернет маркетинг",1
143,"WEB аналитика",1
144,"Google Analytics",1
145,"Internet Marketing",1
146,"Контекстная реклама",1
147,"Внешняя оптимизация сайта",1
149,"SEO оптимизация",1
124,"Android SDK",1
150,"SMM",1
151,"Autodesk 3ds Max",1
152,"Autodesk Maya",1
153,"3D Моделирование",1
154,"3ds Max",1
155,"SVN",1
141,"Навыки продаж",1
140,"Поиск и привлечение клиентов",1
139,"Обучение",1
138,"Социальные сети",1
137,"Телефонные переговоры",1
136,"Консультирование",1
135,"Веб-программирование",1
134,"Грамотная речь",1
133,"Работа с людьми",1
132,"Собеседование",1
131,"Подбор персонала",1
93,"MS Excel",1
129,"Оперативный поиск информации в сети Интернет",1
128,"Прямой поиск",1
127,"Телефонное интервью",1
126,"Адаптация",1
125,"Java SE",1
94,"Ведение переговоров",1
78,".NET Core",1
92,"1С-Битрикс",1
25,"основные технологии front-end",1
49,"Системный анализ",1
48,"Планирование",1
46,"Стратегическое планирование",1
45,"Формирование бюджета",1
43,"Разработка маркетинговой стратегии",1
42,"Маркетинговый анализ",1
41,"Управление командой",1
40,"Маркетинговые коммуникации",1
39,"Стратегический маркетинг",1
38,"Продвижение бренда",1
36,"B2B Marketing",1
30,"SWIFT Alliance",1
26,"API(Client-Server, REST)",1
23,"разработка программ",1
52,"Python",1
22,"Стратегический анализ",1
20,"Математическое моделирование",1
19,"Управление процессами",1
16,"Разработка концепции",1
14,"Team management",1
13,"Product Management",1
12,"Scrum",1
11,"Teamleading",1
10,"Software Development",1
9,"React.js",1
8,"Node.js",1
7,"Atlassian Jira",1
3,"C++",1
51,"Администрирование",1
53,"Системы управления базами данных",1
89,"Наполнение контентом",1
73,"Sass",1
88,"Оптимизация бизнес-процессов",1
87,"SQLite",1
85,"MVC",1
84,"Cocoa.Framework",1
83,"Структуры данных",1
82,"Алгоритмы",1
81,"Swift",1
80,"Entity Framework",1
79,".NET Framework",1
77,"MS SQL",1
76,"Обновление конфигурации 1С",1
75,"1С программирование",1
74,"Node.js-Vue",1
72,"Openshift",1
54,"ETL",1
71,"Liquidity",1
70,"FX",1
69,"Payments",1
68,"Start-up project",1
67,"Базы данных",1
66,"Деловая переписка",1
64,"Администрирование серверов Windows",1
62,"Работа с базами данных",1
61,"СУБД",1
60,"Microsoft Access",1
59,"elasticsearch",1
58,"Поисковые системы",1
55,"обучаемость",1
156,"jQuery",1
